fips,mean_pm25,mean_winter_temp,mean_summer_temp,mean_winter_rm,mean_summer_rm,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,NAME,land_area,year,hispanic_pct,poverty,poverty_mcare,population,median_house_value,blk_pct,white_pct,native_pct,asian_pct,no_grad,no_grad_mcare,median_household_income,owner_occupied,median_age,age_pct_0_14,age_pct_15_44,age_pct_45_65,age_pct_65_plus,population_density,q_popdensity,obese,smoke,Population,older_pecent,young_pecent,prime_pecent,mid_pecent
1001,10.37652626,288.0850909,306.023451,85.65184499,96.05541747,Autauga,Alabama,US,2021/11/1 4:22,32.53952745,-86.64408227,10252,148,NA,NA,"Autauga, Alabama, US",Autauga County,594.4437283,2016,0.025722538,0.122660171,0.063045202,55049,141000,0.185216807,0.768606151,0.004105433,0.008065542,0.218200796,0.175308642,53099,0.731634615,37.8,0.204000073,0.393612963,0.262602409,0.139784556,92.60590596,1,0.333,0.180815572,918492,0.11938264,0.220397129,0.412120084,0.248100147
1003,9.272959472,290.2088608,305.5166332,89.73097231,97.97154375,Baldwin,Alabama,US,2021/11/1 4:22,30.72774991,-87.72207058,37414,555,NA,NA,"Baldwin, Alabama, US",Baldwin County,1589.793727,2016,0.043666984,0.129937958,0.071157987,199510,173400,0.093198336,0.86432259,0.00679164,0.006706431,0.18530018,0.11125395,51365,0.717308281,42.3,0.183043456,0.352894592,0.276913438,0.187148514,125.494268,1,0.31,0.174890326,3102984,0.169573546,0.190426054,0.366823677,0.273176723
1005,9.636003129,289.2421072,306.0622486,88.63357171,97.37167482,Barbour,Alabama,US,2021/11/1 4:22,31.868263,-85.3871286,3601,76,NA,NA,"Barbour, Alabama, US",Barbour County,885.0020367,2016,0.043097618,0.263736729,0.169600381,26614,90300,0.479296611,0.467047419,0.001728414,0.004847073,0.310359692,0.363946351,33956,0.639004604,38.7,0.179379274,0.390809348,0.264522432,0.165288946,30.07224718,1,0.417,0.219999845,499262,0.143295504,0.188185762,0.411823852,0.256694882
1007,10.72606792,287.3628325,305.982177,86.48586611,96.29307694,Bibb,Alabama,US,2021/11/1 4:22,32.99642064,-87.1251146,4279,87,NA,NA,"Bibb, Alabama, US",Bibb County,622.4613709,2016,0.022239943,0.164539145,0.110938953,22572,97200,0.212121212,0.76953748,0.003588517,0.000620237,0.26824203,0.331547619,39776,0.726305335,40.2,0.170210881,0.404837852,0.276094276,0.148856991,36.26249123,1,0.376,0.191141999,397470,0.129413541,0.19155408,0.422527486,0.256504893
1009,10.63986882,285.5656757,305.1788646,85.4491388,94.63094868,Blount,Alabama,US,2021/11/1 4:22,33.98210918,-86.56790593,10406,178,NA,NA,"Blount, Alabama, US",Blount County,644.8307525,2016,0.087272979,0.165344402,0.101551189,57704,124200,0.015683488,0.954405241,0.003483294,0.001594344,0.270911276,0.259953634,46212,0.788302052,40.8,0.194180646,0.364706086,0.269184112,0.171929156,89.48704722,1,0.338,0.19208672,997531,0.146497703,0.203667856,0.390598387,0.259236054
1011,9.711006657,288.6913288,305.8677188,89.1681225,97.13842046,Bullock,Alabama,US,2021/11/1 4:22,32.10030533,-85.71265535,1526,44,NA,NA,"Bullock, Alabama, US",Bullock County,622.8056501,2016,0.001231994,0.268662596,0.250495704,10552,68000,0.755022745,0.218062926,0.007960576,0.007960576,0.380043489,0.394489668,29335,0.731158605,39.2,0.179871114,0.397554966,0.271228203,0.151345716,16.94268509,1,0.372,0.22894664,197588,0.139568192,0.190639108,0.415156791,0.254635909
1013,9.441283058,289.3199501,306.1584924,88.41467891,97.1173997,Butler,Alabama,US,2021/11/1 4:22,31.75300095,-86.68057478,3351,96,NA,NA,"Butler, Alabama, US",Butler County,776.8385529,2016,0.012475345,0.256595084,0.161656268,20280,83000,0.437623274,0.536291913,0.000739645,0.010009862,0.267833022,0.267682263,34315,0.70267101,40.6,0.192061144,0.360700197,0.265976331,0.181262327,26.10581043,1,0.433,0.21765335,374201,0.168690089,0.202717256,0.367612593,0.260980062
1015,10.92191725,286.0322867,305.1069784,86.58536346,96.38513365,Calhoun,Alabama,US,2021/11/1 4:22,33.77483727,-85.82630386,22348,495,NA,NA,"Calhoun, Alabama, US",Calhoun County,605.867526,2016,0.034362245,0.196423818,0.10129466,115883,107900,0.205301899,0.748832875,0.003296428,0.009311116,0.243356752,0.241752884,41954,0.69017772,39.1,0.181329444,0.388383111,0.270980213,0.159307232,191.2678845,1,0.385,0.206125604,2073654,0.146201343,0.188900848,0.403287144,0.261610664
1017,10.31123842,287.5812197,305.6673526,87.76759871,96.23720963,Chambers,Alabama,US,2021/11/1 4:22,32.91360079,-85.39072749,5785,143,NA,NA,"Chambers, Alabama, US",Chambers County,596.5609134,2016,0.004350638,0.203116139,0.117695746,34018,83000,0.405050268,0.570786054,0.002292904,0.009171615,0.258761923,0.300239808,36027,0.676485452,43.1,0.175818684,0.358692457,0.281615615,0.183873244,57.02351467,1,0.401,0.193929271,628820,0.167642569,0.191159632,0.373356445,0.267841354
1019,11.01431357,285.2225696,305.2567209,87.75722354,96.03808884,Cherokee,Alabama,US,2021/11/1 4:22,34.17805983,-85.60638968,3068,61,NA,NA,"Cherokee, Alabama, US",Cherokee County,553.5250824,2016,0.015638877,0.164461025,0.134649556,25897,112500,0.046684944,0.932772136,0.005869406,0.004208982,0.249380195,0.290138704,38925,0.791708337,45.7,0.167702823,0.323435147,0.305633857,0.203228173,46.78559441,1,0.35,0.174986738,454744,0.179540577,0.175494344,0.351947469,0.29301761
1021,10.54985663,287.4454119,305.7702408,85.88084477,95.93478176,Chilton,Alabama,US,2021/11/1 4:22,32.85044126,-86.7173256,6794,164,NA,NA,"Chilton, Alabama, US",Chilton County,692.8515016,2016,0.076248944,0.202743586,0.124427481,43817,99100,0.100828446,0.838487345,0.003058174,0.004359039,0.274505673,0.249925172,42594,0.760274385,38.7,0.200926581,0.387657758,0.258917772,0.152497889,63.24154584,1,0.377,0.201889791,762303,0.137403368,0.208022269,0.399035554,0.255538808
1023,9.676405989,289.0024351,306.6106306,88.20489928,96.91373597,Choctaw,Alabama,US,2021/11/1 4:22,32.02227341,-88.2656443,903,27,NA,NA,"Choctaw, Alabama, US",Choctaw County,913.467489,2016,0.005569354,0.209533267,0.129753915,13287,64600,0.425829758,0.564085196,0.000150523,0.000451569,0.275292106,0.325716358,32622,0.805285868,45.1,0.167532174,0.331752841,0.293218936,0.207496049,14.54567367,1,0.413,0.187932483,258214,0.17567599,0.18914931,0.354895552,0.280279148
1025,9.523397705,289.5414213,306.5398896,87.38195651,97.06148606,Clarke,Alabama,US,2021/11/1 4:22,31.68099859,-87.83548597,4778,84,NA,NA,"Clarke, Alabama, US",Clarke County,1238.420453,2016,0.001730591,0.24635962,0.158550658,24847,85900,0.454944259,0.533384312,0.00032197,0.004588079,0.268188673,0.281639929,32735,0.672179192,42,0.181027891,0.36108987,0.277256812,0.180625428,20.06346064,1,0.341,0.205796553,472616,0.154920697,0.207064509,0.379396804,0.25861799
1027,10.18542246,286.3918829,304.6604002,87.78888658,97.48251761,Clay,Alabama,US,2021/11/1 4:22,33.26984193,-85.85836077,2468,68,NA,NA,"Clay, Alabama, US",Clay County,603.9610357,2016,0.03107617,0.167480543,0.095063239,13483,90000,0.147815768,0.828969814,0.009196766,0,0.313747753,0.268730887,38815,0.750512773,43.7,0.174367722,0.345323741,0.286286435,0.194022102,22.32428783,1,0.406,0.196203542,250712,0.177267143,0.185172628,0.369475733,0.268084495
1029,10.42530023,285.915958,304.4228568,87.91294318,97.6828699,Cleburne,Alabama,US,2021/11/1 4:22,33.67679204,-85.52005899,2494,60,NA,NA,"Cleburne, Alabama, US",Cleburne County,560.1045024,2016,0.023280635,0.196183621,0.1360211,14991,108100,0.023614169,0.945634047,0.001400841,0.005736775,0.324675325,0.356224752,36316,0.756085019,41.5,0.196651324,0.349543059,0.272163298,0.181642319,26.76464827,1,0.373,0.183744658,263977,0.156877304,0.195888278,0.378267804,0.268966615
1031,9.335929659,289.7128747,306.1311374,87.31000077,97.28072165,Coffee,Alabama,US,2021/11/1 4:22,31.39932826,-85.98901039,9277,193,NA,NA,"Coffee, Alabama, US",Coffee County,678.9861285,2016,0.0655802,0.163545916,0.082193548,50991,142800,0.17191269,0.763762233,0.008256359,0.012217842,0.239625408,0.213220676,47872,0.666683871,39.3,0.195034418,0.386852582,0.260281226,0.157831774,75.09873598,1,0.342,0.174447576,856929,0.149153547,0.197655815,0.399743736,0.253446902
1033,9.823705768,284.6816744,305.1925749,86.95980546,95.5697313,Colbert,Alabama,US,2021/11/1 4:22,34.69847452,-87.80168544,9126,202,NA,NA,"Colbert, Alabama, US",Colbert County,592.7449552,2016,0.024017507,0.165275459,0.10536496,54377,102500,0.156904574,0.79774537,0.006031962,0.004689483,0.240725107,0.234203707,43786,0.720922868,42.4,0.176876253,0.358956912,0.279640289,0.184526546,91.73760067,1,0.306,0.186588211,980619,0.169744824,0.184750652,0.373261175,0.272243348
1035,9.182941056,289.6330384,306.1793597,88.50300769,97.42025044,Conecuh,Alabama,US,2021/11/1 4:22,31.43401703,-86.99320044,1892,57,NA,NA,"Conecuh, Alabama, US",Conecuh County,850.2000218,2016,0.017641963,0.32538425,0.182666148,12697,72300,0.46310152,0.519256517,0.001496416,0.001102623,0.275083527,0.274776525,27609,0.785265226,44,0.184059227,0.329684177,0.283610302,0.202646294,14.93413276,1,0.43,0.21107513,240029,0.176041228,0.19470564,0.353698928,0.275554204
1037,10.42559347,287.4297734,305.5248194,87.18013462,96.40850416,Coosa,Alabama,US,2021/11/1 4:22,32.93690146,-86.24847739,1815,42,NA,NA,"Coosa, Alabama, US",Coosa County,650.9106664,2016,0.012886598,0.153377155,0.144076305,10864,76500,0.323637703,0.663107511,0.000736377,0,0.344003607,0.320512821,31910,0.795292439,44.9,0.147183358,0.354841679,0.311303387,0.186671576,16.6904624,1,0.403,0.203999656,205706,0.165965018,0.17188609,0.365298047,0.296850845
1039,9.210231869,290.1757077,306.4426267,89.34498137,98.02485009,Covington,Alabama,US,2021/11/1 4:22,31.2477854,-86.45050893,6749,184,NA,NA,"Covington, Alabama, US",Covington County,1030.55652,2016,0.015319781,0.189944889,0.117703089,37729,93700,0.131066289,0.844999867,0.003445625,0.004664847,0.25459862,0.286483646,37313,0.74728243,42.9,0.181955525,0.341169922,0.275093429,0.201781123,36.61031614,1,0.317,0.192494515,675056,0.185593492,0.186538598,0.35852433,0.26934358
1041,9.429844142,289.2180197,306.110221,89.49499469,97.43898491,Crenshaw,Alabama,US,2021/11/1 4:22,31.72941803,-86.31593104,2509,75,NA,NA,"Crenshaw, Alabama, US",Crenshaw County,608.8649056,2016,0.016839378,0.181818182,0.160799652,13896,77600,0.238341969,0.714953944,0.008851468,0.016695452,0.29436462,0.34730785,37557,0.701253225,41.6,0.189047208,0.355210132,0.280656304,0.175086356,22.82279677,1,0.38,0.186469296,248758,0.168573473,0.196443933,0.366762074,0.26822052
1043,10.54356127,285.4334134,305.0486137,85.91564733,95.42083434,Cullman,Alabama,US,2021/11/1 4:22,34.13020303,-86.86888037,15703,296,NA,NA,"Cullman, Alabama, US",Cullman County,734.7806318,2016,0.04213193,0.171205352,0.117325185,81316,118700,0.011055635,0.958556742,0.005226524,0.006111958,0.254231642,0.247661933,39297,0.758759371,40.5,0.186322495,0.364885139,0.271275026,0.17751734,110.6670433,1,0.369,0.179010712,1430571,0.158220039,0.192637765,0.386071016,0.263071179
1045,9.374121838,289.8225486,306.1688954,86.05208104,96.89369761,Dale,Alabama,US,2021/11/1 4:22,31.43037123,-85.61095742,8944,187,NA,NA,"Dale, Alabama, US",Dale County,561.1008827,2016,0.058882819,0.204745749,0.109095795,49607,103800,0.196665793,0.744269962,0.005946741,0.01024049,0.214630798,0.220538281,44093,0.607268277,36.9,0.195839297,0.39782692,0.252041043,0.154292741,88.41012647,1,0.372,0.200573949,891078,0.136157553,0.209514768,0.411048191,0.243279488
1047,10.20423163,288.3639732,306.3338846,86.6117414,96.00506372,Dallas,Alabama,US,2021/11/1 4:22,32.32688101,-87.1086671,5207,207,NA,NA,"Dallas, Alabama, US",Dallas County,978.7379706,2016,0.009583353,0.343000367,0.176044129,41426,81000,0.695167286,0.286872978,0.002196688,0.003934727,0.276522974,0.286264244,28136,0.582955463,38.9,0.205692077,0.367691788,0.269854681,0.156761454,42.32593528,1,0.431,0.24088991,789694,0.14301109,0.220993195,0.381181825,0.25481389
1049,10.07983121,283.9338088,303.8219788,88.86332411,97.44301036,DeKalb,Alabama,US,2021/11/1 4:22,34.45946862,-85.80782906,12727,265,NA,NA,"DeKalb, Alabama, US",DeKalb County,777.0987661,2016,0.14015253,0.197866149,0.123398644,70937,99600,0.015252971,0.872013195,0.013800978,0.003016761,0.34931725,0.352604828,38248,0.722985772,39.3,0.204308048,0.37902646,0.261344573,0.155320919,91.28440694,1,0.292,0.210282708,1237389,0.142968783,0.21060879,0.395871468,0.250550959
1051,10.57761932,288.0805836,305.935176,87.15376153,96.20376982,Elmore,Alabama,US,2021/11/1 4:22,32.59785413,-86.14415284,15488,288,NA,NA,"Elmore, Alabama, US",Elmore County,618.4465314,2016,0.028014872,0.142969642,0.075216351,80957,152500,0.21364428,0.753708759,0.00259397,0.005644972,0.229280174,0.1719292,53398,0.734337141,38.3,0.188655706,0.40635152,0.26611658,0.138876194,130.9037983,1,0.343,0.174525019,1353407,0.120608952,0.198142909,0.424004752,0.257243387
1053,9.096784003,290.1220185,306.2816795,88.60063356,98.22295412,Escambia,Alabama,US,2021/11/1 4:22,31.1256789,-87.15918694,6854,135,NA,NA,"Escambia, Alabama, US",Escambia County,945.2225721,2016,0.020594059,0.25202607,0.136819948,37875,93900,0.323881188,0.619221122,0.034772277,0.001056106,0.279275914,0.239816136,32334,0.712248818,39.9,0.18550495,0.380594059,0.267326733,0.166574257,40.06992757,1,0.394,0.224125846,683727,0.149110683,0.191868977,0.400946577,0.258073763
1055,10.94145825,285.3196532,305.0557873,85.68263881,95.06205999,Etowah,Alabama,US,2021/11/1 4:22,34.04567266,-86.04051873,19899,502,NA,NA,"Etowah, Alabama, US",Etowah County,535.2818639,2016,0.036299256,0.183768867,0.107356322,103363,101900,0.154126718,0.812902102,0.004595455,0.006762575,0.249770489,0.237421296,40478,0.709579475,40.9,0.179106644,0.372048025,0.275214535,0.173630796,193.1001347,1,0.355,0.201473986,1864049,0.161877182,0.188615213,0.383134778,0.266372826
1057,10.11720812,286.1744122,305.8911871,87.54124094,96.50598591,Fayette,Alabama,US,2021/11/1 4:22,33.72076938,-87.73886638,3010,82,NA,NA,"Fayette, Alabama, US",Fayette County,627.6837151,2016,0.008580111,0.173011844,0.105510332,16783,76400,0.125364953,0.856283144,0,0.002681285,0.275273224,0.285888449,36205,0.778978102,43.6,0.169159268,0.353810403,0.281534886,0.195495442,26.73798857,1,0.41,0.180015933,316242,0.176437665,0.18515251,0.364309611,0.274100214
